Approximately 675 Pokemon Available under: 'Default', 'have_roamers', 'have_family'
  
Type Data:
  
0 Pokemon which Types include: Crystal
2 Pokemon which Types include: Wind
27 Pokemon which Types include: Fairy
30 Pokemon which Types include: Steel
35 Pokemon which Types include: Dragon
35 Pokemon which Types include: Fighting
35 Pokemon which Types include: Ice
38 Pokemon which Types include: Electric
43 Pokemon which Types include: Dark
44 Pokemon which Types include: Ghost
47 Pokemon which Types include: Fire
52 Pokemon which Types include: Rock
57 Pokemon which Types include: Poison
61 Pokemon which Types include: Ground
66 Pokemon which Types include: Psychic
68 Pokemon which Types include: Bug
85 Pokemon which Types include: Grass
87 Pokemon which Types include: Normal
88 Pokemon which Types include: Flying
118 Pokemon which Types include: Water
  
List of Available Species:
  
Abra - Normal Form
Absol - Normal Form
Accelgor - Normal Form
Aegislash - Shield Forme
Aerodactyl - Normal Form
Aggron - Normal Form
Alakazam - Normal Form
Altaria - Normal Form
Amaura - Normal Form
Ampharos - Normal Form
Anorith - Normal Form
Araquanid - Normal Form
Arbok - Normal Form
Arcanine - Normal Form
Archen - Normal Form
Archeops - Normal Form
Ariados - Normal Form
Armaldo - Normal Form
Aron - Normal Form
Aurorus - Normal Form
Avalugg - Normal Form
Axew - Normal Form
Azelf - Normal Form
Azumarill - Normal Form
Azurill - Normal Form
Bagon - Normal Form
Baltoy - Normal Form
Banette - Normal Form
Barbaracle - Normal Form
Basculegion - Normal Form
Basculin - Red-Striped Form
Bastiodon - Normal Form
Bayleef - Normal Form
Beartic - Normal Form
Beautifly - Normal Form
Beedrill - Normal Form
Beheeyem - Normal Form
Beldum - Normal Form
Bellossom - Normal Form
Bellsprout - Normal Form
Bergmite - Normal Form
Bewear - Normal Form
Binacle - Normal Form
Bipulla - Normal Form
Blastoise - Normal Form
Blaziken - Normal Form
Blissey - Normal Form
Blitzle - Normal Form
Boltund - Normal Form
Bonsly - Normal Form
Bouffalant - Normal Form
Bounsweet - Normal Form
Braviary - Normal Form
Breloom - Normal Form
Brionne - Normal Form
Bronzong - Normal Form
Bronzor - Normal Form
Budew - Normal Form
Buizel - Normal Form
Bulbasaur - Normal Form
Bunnelby - Normal Form
Burmy - Plant Cloak
Butterfree - Normal Form
Byurgela - Normal Form
Cacnea - Normal Form
Cacturne - Normal Form
Camerupt - Normal Form
Carkol - Normal Form
Carnivine - Normal Form
Carracosta - Normal Form
Carvanha - Normal Form
Cascoon - Normal Form
Castform - Normal
Caterpie - Normal Form
Celebi - Normal Form
Chandelure - Normal Form
Chansey - Normal Form
Charizard - Normal Form
Charjabug - Normal Form
Charmander - Normal Form
Charmeleon - Normal Form
Chatot - Normal Form
Cherrim - Overcast Form
Cherubi - Normal Form
Chesnaught - Normal Form
Chespin - Normal Form
Chewtle - Normal Form
Chikorita - Normal Form
Chimecho - Normal Form
Chinchou - Normal Form
Chingling - Normal Form
Cinccino - Normal Form
Clamperl - Normal Form
Clauncher - Normal Form
Clawitzer - Normal Form
Claydol - Normal Form
