# See the documentation on the wiki to learn how to edit this file.
#-------------------------------
# Temperate Zone (349) - Temperate Zone (15)
349,1,39,15,0,0
# Temperate Zone (45) - Temperate Zone (54)
45,North,11,54,South,0
# Temperate Zone (47) - Temperate Zone (45)
47,West,0,45,East,0
# MAP046 (46) - Temperate Zone (54)
46,South,0,54,North,0
# Temperate Zone (47) - Temperate Zone (54)
47,North,0,54,South,39
# Winter Zone (72) - Winter Zone (73)
72,East,0,73,West,0
# Winter Zone (77) - Winter Zone (72)
77,North,0,72,South,0
# Winter Zone (78) - Winter Zone (72)
78,West,0,72,East,50
# Winter Zone (85) - Winter Zone (72)
85,South,0,72,North,100
# Winter Zone (80) - Winter Zone (72)
80,North,0,72,South,100
# Winter Zone (73) - Winter Zone (82)
73,East,0,82,West,100
# Winter Zone (77) - Winter Zone (73)
77,North,50,73,South,0
# Winter Zone (78) - Winter Zone (73)
78,North,0,73,South,0
# Winter Zone (85) - Winter Zone (73)
85,West,50,73,East,0
# Winter Zone (74) - Winter Zone (73)
74,West,0,73,East,0
# Winter Zone (80) - Winter Zone (73)
80,West,0,73,East,50
# Winter Zone (74) - Winter Zone (77)
74,South,0,77,North,100
# Winter Zone (74) - Winter Zone (78)
74,West,50,78,East,0
# Winter Zone (74) - Winter Zone (85)
74,North,0,85,South,0
# Winter Zone (80) - Winter Zone (74)
80,North,0,74,South,0
# Winter Zone (83) - Winter Zone (74)
83,West,0,74,East,0
# Winter Zone (78) - Winter Zone (77)
78,West,0,77,East,0
# Winter Zone (83) - Winter Zone (77)
83,South,0,77,North,150
# Winter Zone (78) - Winter Zone (82)
78,East,0,82,West,150
# Winter Zone (85) - Winter Zone (78)
85,West,100,78,East,0
# Winter Zone (80) - Winter Zone (78)
80,West,0,78,East,0
# Winter Zone (83) - Winter Zone (78)
83,South,0,78,North,100
# Winter Zone (83) - Winter Zone (80)
83,West,50,80,East,0
# Winter Zone (85) - Winter Zone (82)
85,North,0,82,South,0
# Winter Zone (83) - Winter Zone (82)
83,West,0,82,East,100
# Winter Zone (83) - Winter Zone (85)
83,West,0,85,East,50
# Humid Zone (111) - Humid Zone (161)
111,North,150,161,South,0
# Humid Zone (132) - Humid Zone (111)
132,West,100,111,East,0
# Humid Zone (130) - Humid Zone (111)
130,South,0,111,North,0
# Humid Zone (138) - Humid Zone (111)
138,West,50,111,East,0
# Humid Zone (142) - Humid Zone (111)
142,South,0,111,North,100
# Humid Zone (158) - Humid Zone (111)
158,West,0,111,East,0
# Humid Zone (130) - Humid Zone (132)
130,North,50,132,South,0
# Humid Zone (160) - Humid Zone (130)
160,North,0,130,South,150
# Humid Zone (138) - Humid Zone (130)
138,West,0,130,East,0
# Humid Zone (131) - Humid Zone (130)
131,South,0,130,North,0
# Humid Zone (133) - Humid Zone (130)
133,South,0,130,North,100
# Humid Zone (134) - Humid Zone (130)
134,South,0,130,North,150
# Humid Zone (159) - Humid Zone (130)
159,North,0,130,South,100
# Humid Zone (158) - Humid Zone (130)
158,West,0,130,East,50
# Humid Zone (131) - Humid Zone (161)
131,South,150,161,North,0
# Humid Zone (131) - Humid Zone (132)
131,East,0,132,West,0
# Humid Zone (131) - Humid Zone (138)
131,East,50,138,West,0
# Humid Zone (142) - Humid Zone (131)
142,North,0,131,South,100
# Humid Zone (158) - Humid Zone (131)
158,West,0,131,East,100
# Humid Zone (132) - Humid Zone (161)
132,South,100,161,North,0
# Humid Zone (138) - Humid Zone (132)
138,North,0,132,South,0
# Humid Zone (133) - Humid Zone (132)
133,West,0,132,East,0
# Humid Zone (159) - Humid Zone (132)
159,West,0,132,East,100
# Humid Zone (142) - Humid Zone (132)
142,West,0,132,East,50
# Humid Zone (133) - Humid Zone (161)
133,East,50,161,West,0
# Humid Zone (133) - Humid Zone (160)
133,East,100,160,West,0
# Humid Zone (133) - Humid Zone (138)
133,West,50,138,East,0
# Humid Zone (134) - Humid Zone (133)
134,West,0,133,East,0
# Humid Zone (142) - Humid Zone (133)
142,North,0,133,South,0
# Humid Zone (158) - Humid Zone (133)
158,East,0,133,West,100
# Humid Zone (134) - Humid Zone (161)
134,South,0,161,North,0
# Humid Zone (134) - Humid Zone (138)
134,South,0,138,North,100
# Humid Zone (159) - Humid Zone (134)
159,East,0,134,West,100
# Humid Zone (142) - Humid Zone (134)
142,North,50,134,South,0
# Humid Zone (138) - Humid Zone (160)
138,South,100,160,North,0
# Humid Zone (159) - Humid Zone (138)
159,West,0,138,East,50
# Humid Zone (142) - Humid Zone (138)
142,West,0,138,East,0
# Humid Zone (158) - Humid Zone (138)
158,North,0,138,South,0
# Humid Zone (142) - Humid Zone (161)
142,East,0,161,West,0
# Humid Zone (142) - Humid Zone (160)
142,East,50,160,West,0
# Humid Zone (142) - Humid Zone (159)
142,South,0,159,North,0
# Humid Zone (158) - Humid Zone (142)
158,North,50,142,South,0
# Humid Zone (158) - Humid Zone (161)
158,North,100,161,South,0
# Humid Zone (158) - Humid Zone (159)
158,East,0,159,West,0
# Humid Zone (159) - Humid Zone (161)
159,North,50,161,South,0
# Humid Zone (159) - Humid Zone (160)
159,East,0,160,West,0
# Humid Zone (160) - Humid Zone (161)
160,North,0,161,South,0
# Abandoned Cabin (169) - S.S Glittering (176)
169,North,0,176,South,0
# Abandoned Cabin (169) - Cedar City (178)
169,North,50,178,South,0
# Abandoned Cabin (169) - House 1 (184)
169,North,100,184,South,0
# Abandoned Cabin (169) - Rocket Hideout B1F (180)
169,East,0,180,West,104
# S.S Glittering (172) - Department Store 2F (193)
172,North,0,193,South,0
# Department Store Rooftop (195) - S.S Glittering (172)
195,West,50,172,East,0
# Kitchen (174) - S.S Glittering (173)
174,South,0,173,North,0
# Cedar City (178) - S.S Glittering (176)
178,West,0,176,East,0
# Lab (179) - S.S Glittering (176)
179,South,0,176,North,0
# Rocket Hideout B1F (180) - S.S Glittering (176)
180,West,54,176,East,0
# Cedar City (178) - S.S. Glittering (177)
178,West,0,177,East,100
# Lab (179) - S.S. Glittering (177)
179,North,0,177,South,0
# Rocket Hideout B1F (180) - S.S. Glittering (177)
180,West,0,177,East,46
# House 1 (184) - Cedar City (178)
184,West,0,178,East,0
# Lab (179) - Cedar City (178)
179,East,50,178,West,0
# Lab (179) - House 1 (184)
179,South,100,184,North,0
# Rocket Hideout B1F (180) - Lab (179)
180,West,4,179,East,0
# Rocket Hideout B1F (180) - House 1 (184)
180,East,54,184,West,0
# Studio City (182) - House 4 (187)
182,North,50,187,South,0
# Bike Shop (188) - Studio City (182)
188,West,100,182,East,0
# Safari Zone Warden's House (189) - Studio City (182)
189,West,0,182,East,0
# House 2 (185) - Studio City (182)
185,East,0,182,West,0
# House 3 (186) - Studio City (182)
186,South,0,182,North,0
# House 2 (185) - House 4 (187)
185,North,100,187,South,0
# House 3 (186) - House 2 (185)
186,West,50,185,East,0
# House 3 (186) - House 4 (187)
186,East,0,187,West,0
# House 3 (186) - Bike Shop (188)
186,North,50,188,South,0
# House 3 (186) - Safari Zone Warden's House (189)
186,East,50,189,West,0
# Bike Shop (188) - House 4 (187)
188,South,0,187,North,0
# Safari Zone Warden's House (189) - House 4 (187)
189,North,0,187,South,0
# Department Store 3F (194) - Department Store 2F (193)
194,South,0,193,North,0
# Department Store Rooftop (195) - Department Store 2F (193)
195,West,0,193,East,0
# Department Store Rooftop (195) - Department Store 3F (194)
195,West,0,194,East,50
# Forest Zone (200) - Forest Zone (203)
200,East,50,203,West,0
# Forest Zone (200) - Forest Zone (204)
200,West,0,204,East,50
# Forest Zone (200) - Forest Zone (244)
200,West,50,244,East,0
# Forest Zone (201) - Forest Zone (200)
201,East,0,200,West,0
# Forest Zone (202) - Forest Zone (200)
202,North,0,200,South,0
# Forest Zone (201) - Forest Zone (203)
201,South,100,203,North,0
# Forest Zone (201) - Forest Zone (204)
201,North,0,204,South,0
# Forest Zone (201) - Forest Zone (244)
201,South,0,244,North,0
# Forest Zone (202) - Forest Zone (201)
202,West,0,201,East,50
